turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
valladolid|Valladolid|MEXICO (MX)|NULL|NULL|MER-60|Valladolid |CUN|20.68964|-88.202249
murcia|Murcia|SPAIN (ES)|37.9922|-1.1306|MJV-10|Murcia|RMU|37.986111|-1.130278
oviedo|Oviedo|SPAIN (ES)|43.3619|-5.8493|OVD-10|Oviedo|OVD|43.36|NULL
navarra|Pamplona|SPAIN (ES)|42.8125|-1.6457|PNA-99|Pamplona|PNA|42.81901410374522|-1.644086837768555
rio-negro|Río Negro|ARGENTINA (AR)|NULL|NULL|RNG-99|Río Negro|NQN|-41.15|-71.3
tarragona|Tarragona|SPAIN (ES)|41.1188|1.2444|SAL-80|Tarragona|REU|41.118883|1.244491
satipo|Satipo|PERU (PE)|-11.254|-74.6366|SAT-12|Satipo|MZA|-11.255548|-74.639433
santiago-de-compostela|Santiago de Compostela|SPAIN (ES)|NULL|NULL|SCQ-99|Santiago de Compostela|SCQ|42.8782132|-8.5448445
santander|Santander|SPAIN (ES)|43.4623|-3.8099|SDR-99|Santander|SDR|43.4623057|-3.8099803
segovia|Segovia|SPAIN (ES)|40.9429|-4.1088|SEG-99|Segovia|MAD|40.942903|-4.108807
santa-cruz|Santa Cruz|ARGENTINA (AR)|NULL|NULL|TOUSAN|Santa Cruz|SCL|-48.62|-70.01
vitoria|Vitoria|SPAIN (ES)|42.8591|-2.6818|VIT-20|Vitoria |VIT|42.859166|-2.681792
zaragoza|Zaragoza|SPAIN (ES)|41.6488|-0.8897|ZAZ-99|Zaragoza|ZAZ|41.65|-0.883333
santa-fe|Santa Fe|ARGENTINA (AR)|NULL|NULL|TUR-STF|Santa Fe|SFN|-31.610658|-60.697294
armenia|Armenia|COLOMBIA (CO)|NULL|NULL|AXM|Armenia|AXM|4.540726152469631|-75.66928532060119
bucaramanga|Bucaramanga|COLOMBIA (CO)|NULL|NULL|BGA|Bucaramanga|BGA|7.119349|-73.12274159999998
bocas-del-toro|Bocas del Toro|PANAMA (PA)|NULL|NULL|BTO|Bocas del Toro|BOC|9.340556|-82.240556
ceuta|Ceuta|SPAIN (ES)|35.8893|-5.3213|CEU|Ceuta|TTU|35.888333|-5.315556
chetumal|Chetumal|MEXICO (MX)|NULL|NULL|CHE|Chetumal|CTM|18.51740644052279|-88.29989761938265
colima|Colima|MEXICO (MX)|NULL|NULL|CLQ|Colima|CLQ|19.2452342|-103.72408680000001
coatzacoalcos|Coatzacoalcos|MEXICO (MX)|NULL|NULL|COA|Coatzacoalcos|MTT|18.1344779|-94.4589858
curico|Curicó|CHILE (CL)|NULL|NULL|CU1|Curico|SCL|-34.97712676941464|-71.24290466308595
boquete|Boquete|PANAMA (PA)|NULL|NULL|DAW|Boquete|DAV|8.78|-82.44
encarnacion|Encarnación|PARAGUAY (PY)|NULL|NULL|ENO|Encarnación|PSS|-27.2522918|-55.913586699999996
guadalajara|Guadalajara|SPAIN (ES)|40.6324|-3.1601|GUJ|Guadalajara |MAD|40.632489|-3.16017
hermosillo|Hermosillo|MEXICO (MX)|NULL|NULL|HMO|Hermosillo|HMO|29.097296110327918|-110.95923325578173
huatulco|Huatulco|MEXICO (MX)|NULL|NULL|HUA|Huatulco|HUX|15.726883555835869|-96.31502662836459
iquique|Iquique|CHILE (CL)|-20.217|-70.1376|IQQ|Iquique|IQQ|-20.230703|-70.135669
lugo|Lugo|SPAIN (ES)|43.0097|-7.5567|LGO|Lugo|SCQ|43.009738|-7.556758
manzanillo|Manzanillo|MEXICO (MX)|NULL|NULL|MAN|Manzanillo |ZLO|19.055763520329734|-104.30346165607727
matamoros|Matamoros|MEXICO (MX)|NULL|NULL|MAT|Matamoros|MAM|25.869029|-97.502738
mazatlan|Mazatlán|MEXICO (MX)|NULL|NULL|MAZ|Mazatlan|MZT|23.233110941902467|-106.41307510422335
mancora|Mancora|PERU (PE)|NULL|NULL|MC4|Mancora|TBP|-4.1031|-81.0481
machachi|Machachi|ECUADOR (EC)|NULL|NULL|MHA|Machachi|UIO|-0.5107264|-78.5717631
san-miguel-de-allende|San miguel de Allende|MEXICO (MX)|NULL|NULL|MIG|San Miguel de Allende|QRO|20.914449|-100.745235
melilla|Melilla|SPAIN (ES)|35.2922|-2.938|MLN|Melilla|MLN|35.3|-2.95
mexicali|Mexicali|MEXICO (MX)|NULL|NULL|MXL|Mexicali|MXL|32.6245389|-115.45226230000003
nazca|Nazca|PERU (PE)|-14.8277|-74.9371|NAC|Nazca|NZA|-14.828889|-74.943611
nogales|Nogales|MEXICO (MX)|NULL|NULL|NG1|Nogales|NOG|31.279741866692405|-110.93764588330886
palencia|Palencia|SPAIN (ES)|42.0096|-4.5288|PAL|Palencia|MAD|42.016667|-4.533333
cozumel|Cozumel|MEXICO (MX)|NULL|NULL|PAV|Cozumel|CZM|20.44944672819378|-86.88262939453125
la-paz|La Paz|MEXICO (MX)|NULL|NULL|PAZ|La Paz |LAP|24.142222|-110.310833
piedras-negras|Piedras Negras|MEXICO (MX)|NULL|NULL|PDS|Piedras Negras|PDS|28.67794358420113|-100.58785062427903
pereira|Pereira|COLOMBIA (CO)|NULL|NULL|PEI|Pereira|PEI|4.814278|-75.694558
puerto-montt|Puerto Montt|CHILE (CL)|NULL|NULL|PMC|Puerto Montt|PMC|-41.468917|-72.941136
puno|Puno|PERU (PE)|-15.8406|-70.0279|PUN|Puno|JUL|-15.843333|-70.023611
salta|Salta|ARGENTINA (AR)|NULL|NULL|SLT|Salta|SLA|-24.783333|-65.416667
santiago-de-cuba|Santiago de Cuba|CUBA (CU)|NULL|NULL|STG|Santiago de Cuba|SCU|20.01693|-75.830154
